"年份","学校标识码","学校名称","主管部门","所在地","所在省份","办学层次","学校性质","学校类型","备注"
"2022","4144011349.0","五邑大学","广东省","江门市","江门市","本科","本科","普通高等学校",""
"2022","4144011540.0","广东金融学院","广东省","广州市","广州市","本科","本科","普通高等学校",""
"2022","4144011545.0","电子科技大学中山学院","广东省教育厅","中山市","中山市","本科","本科","普通高等学校","民办"
"2022","4144011656.0","广东石油化工学院","广东省","茂名市","茂名市","本科","本科","普通高等学校",""
"2022","4144011819.0","东莞理工学院","广东省","东莞市","东莞市","本科","本科","普通高等学校",""
"2022","4144011845.0","广东工业大学","广东省","广州市","广州市","本科","本科","普通高等学校",""
"2022","4144011846.0","广东外语外贸大学","广东省","广州市","广州市","本科","本科","普通高等学校",""
"2022","4144011847.0","佛山科学技术学院","广东省","佛山市","佛山市","本科","本科","普通高等学校",""
"2022","4144012059.0","广东培正学院","广东省教育厅","广州市","广州市","本科","本科","普通高等学校","民办"
"2022","4144012121.0","南方医科大学","广东省","广州市","广州市","本科","本科","普通高等学校",""
"2022","4144012574.0","广东东软学院","广东省教育厅","佛山市","佛山市","本科","本科","普通高等学校","民办"
"2022","4144012617.0","广州城市理工学院","广东省教育厅","广州市","广州市","本科","本科","普通高等学校","民办"
"2022","4144012618.0","广州软件学院","广东省教育厅","广州市","广州市","本科","本科","普通高等学校","民办"
"2022","4144012619.0","广州南方学院","广东省教育厅","广州市","广州市","本科","本科","普通高等学校","民办"
"2022","4144012620.0","广东外语外贸大学南国商学院","广东省教育厅","广州市","广州市","本科","本科","普通高等学校","民办"
"2022","4144012621.0","广州华商学院","广东省教育厅","广州市","广州市","本科","本科","普通高等学校","民办"
"2022","4144012622.0","湛江科技学院","广东省教育厅","湛江市","湛江市","本科","本科","普通高等学校","民办"
"2022","4144012623.0","华南农业大学珠江学院","广东省教育厅","广州市","广州市","本科","本科","普通高等学校","民办"
"2022","4144012668.0","广州理工学院","广东省教育厅","广州市","广州市","本科","本科","普通高等学校","民办"
"2022","4144013177.0","北京师范大学珠海分校","广东省教育厅","珠海市","珠海市","本科","本科","普通高等学校","民办"
"2022","4144013656.0","广州华立学院","广东省教育厅","广州市","广州市","本科","本科","普通高等学校","民办"
"2022","4144013657.0","广州应用科技学院","广东省教育厅","广州市","广州市","本科","本科","普通高等学校","民办"
"2022","4144013667.0","广州商学院","广东省教育厅","广州市","广州市","本科","本科","普通高等学校","民办"
"2022","4144013675.0","北京理工大学珠海学院","广东省教育厅","珠海市","珠海市","本科","本科","普通高等学校","民办"
"2022","4144013684.0","珠海科技学院","广东省教育厅","珠海市","珠海市","本科","本科","普通高等学校","民办"
"2022","4144013714.0","广州工商学院","广东省教育厅","广州市","广州市","本科","本科","普通高等学校","民办"
"2022","4144013717.0","广州科技职业技术大学","广东省教育厅","广州市","广州市","本科","本科","普通高等学校","民办"
"2022","4144013719.0","广东科技学院","广东省教育厅","东莞市","东莞市","本科","本科","普通高等学校","民办"
"2022","4144013720.0","广东理工学院","广东省教育厅","肇庆市","肇庆市","本科","本科","普通高等学校","民办"
"2022","4144013721.0","广东工商职业技术大学","广东省教育厅","肇庆市","肇庆市","本科","本科","普通高等学校","民办"
"2022","4144013844.0","东莞城市学院","广东省教育厅","东莞市","东莞市","本科","本科","普通高等学校","民办"
"2022","4144013902.0","广州新华学院","广东省教育厅","广州市","广州市","本科","本科","普通高等学校","民办"
"2022","4144014278.0","广东第二师范学院","广东省","广州市","广州市","本科","本科","普通高等学校",""
"2022","4144014325.0","南方科技大学","广东省","深圳市","深圳市","本科","本科","普通高等学校",""
"2022","4144014655.0","深圳技术大学","广东省","深圳市","深圳市","本科","本科","普通高等学校",""
"2022","4144016401.0","北京师范大学-香港浸会大学联合国际学院","广东省教育厅","珠海市","珠海市","本科","本科","普通高等学校","内地与港澳台地区合作办学"
"2022","4144016407.0","香港中文大学（深圳）","广东省教育厅","深圳市","深圳市","本科","本科","普通高等学校","内地与港澳台地区合作办学"
"2022","4144016409.0","深圳北理莫斯科大学","广东省","深圳市","深圳市","本科","本科","普通高等学校","中外合作办学"
"2022","4144016410.0","广东以色列理工学院","广东省","汕头市","汕头市","本科","本科","普通高等学校","中外合作办学"
"2022","4144010831.0","顺德职业技术学院","广东省","佛山市","佛山市","专科","高职（专科）","普通高等学校",""
"2022","4144010833.0","广东轻工职业技术学院","广东省","广州市","广州市","专科","高职（专科）","普通高等学校",""
"2022","4144010861.0","广东交通职业技术学院","广东省","广州市","广州市","专科","高职（专科）","普通高等学校",""
"2022","4144010862.0","广东水利电力职业技术学院","广东省","广州市","广州市","专科","高职（专科）","普通高等学校",""
"2022","4144010965.0","潮汕职业技术学院","广东省教育厅","揭阳市","揭阳市","专科","高职（专科）","普通高等学校","民办"
"2022","4144011113.0","深圳职业技术学院","广东省","深圳市","深圳市","专科","高职（专科）","普通高等学校",""
"2022","4144011114.0","广东南华工商职业学院","广东省","广州市","广州市","专科","高职（专科）","普通高等学校",""
"2022","4144011121.0","私立华联学院","广东省教育厅","广州市","广州市","专科","高职（专科）","普通高等学校","民办"
"2022","4144012040.0","广州民航职业技术学院","交通运输部（中国民用航空局）","广州市","广州市","专科","高职（专科）","普通高等学校",""
"2022","4144012046.0","广州番禺职业技术学院","广东省","广州市","广州市","专科","高职（专科）","普通高等学校",""
"2022","4144012060.0","广东松山职业技术学院","广东省","韶关市","韶关市","专科","高职（专科）","普通高等学校",""
"2022","4144012322.0","广东农工商职业技术学院","广东省","广州市","广州市","专科","高职（专科）","普通高等学校",""
"2022","4144012325.0","广东新安职业技术学院","广东省教育厅","深圳市","深圳市","专科","高职（专科）","普通高等学校","民办"
"2022","4144012327.0","佛山职业技术学院","广东省","佛山市","佛山市","专科","高职（专科）","普通高等学校",""
"2022","4144012572.0","广东科学技术职业学院","广东省","广州市","广州市","专科","高职（专科）","普通高等学校",""
"2022","4144012573.0","广东食品药品职业学院","广东省","广州市","广州市","专科","高职（专科）","普通高等学校",""
"2022","4144012575.0","广州康大职业技术学院","广东省教育厅","广州市","广州市","专科","高职（专科）","普通高等学校","民办"
"2022","4144012576.0","珠海艺术职业学院","广东省教育厅","珠海市","珠海市","专科","高职（专科）","普通高等学校","民办"
"2022","4144012577.0","广东行政职业学院","广东省","广州市","广州市","专科","高职（专科）","普通高等学校",""
"2022","4144012578.0","广东体育职业技术学院","广东省","广州市","广州市","专科","高职（专科）","普通高等学校",""
"2022","4144012736.0","广东职业技术学院","广东省","佛山市","佛山市","专科","高职（专科）","普通高等学校",""
"2022","4144012741.0","广东建设职业技术学院","广东省","广州市","广州市","专科","高职（专科）","普通高等学校",""
"2022","4144012742.0","广东女子职业技术学院","广东省","广州市","广州市","专科","高职（专科）","普通高等学校",""
"2022","4144012743.0","广东机电职业技术学院","广东省","广州市","广州市","专科","高职（专科）","普通高等学校",""
"2022","4144012749.0","广东岭南职业技术学院","广东省教育厅","广州市","广州市","专科","高职（专科）","普通高等学校","民办"
"2022","4144012765.0","汕尾职业技术学院","广东省","汕尾市","汕尾市","专科","高职（专科）","普通高等学校",""
"2022","4144012770.0","罗定职业技术学院","广东省","云浮市","云浮市","专科","高职（专科）","普通高等学校",""
"2022","4144012771.0","阳江职业技术学院","广东省","阳江市","阳江市","专科","高职（专科）","普通高等学校",""
"2022","4144012772.0","河源职业技术学院","广东省","河源市","河源市","专科","高职（专科）","普通高等学校",""
"2022","4144012953.0","广东邮电职业技术学院","广东省","广州市","广州市","专科","高职（专科）","普通高等学校",""
"2022","4144012954.0","汕头职业技术学院","广东省","汕头市","汕头市","专科","高职（专科）","普通高等学校",""
"2022","4144012956.0","揭阳职业技术学院","广东省","揭阳市","揭阳市","专科","高职（专科）","普通高等学校",""
"2022","4144012957.0","深圳信息职业技术学院","广东省","深圳市","深圳市","专科","高职（专科）","普通高等学校",""
"2022","4144012958.0","清远职业技术学院","广东省","清远市","清远市","专科","高职（专科）","普通高等学校",""
"2022","4144012959.0","广东工贸职业技术学院","广东省","广州市","广州市","专科","高职（专科）","普通高等学校",""
"2022","4144012960.0","广东司法警官职业学院","广东省","广州市","广州市","专科","高职（专科）","普通高等学校",""
"2022","4144012961.0","广东亚视演艺职业学院","广东省教育厅","东莞市","东莞市","专科","高职（专科）","普通高等学校","民办"
"2022","4144012962.0","广东省外语艺术职业学院","广东省","广州市","广州市","专科","高职（专科）","普通高等学校",""
"2022","4144013707.0","广东文艺职业学院","广东省","广州市","广州市","专科","高职（专科）","普通高等学校",""
"2022","4144013708.0","广州体育职业技术学院","广东省","广州市","广州市","专科","高职（专科）","普通高等学校",""
"2022","4144013709.0","广州工程技术职业学院","广东省","广州市","广州市","专科","高职（专科）","普通高等学校",""
"2022","4144013710.0","中山火炬职业技术学院","广东省","中山市","中山市","专科","高职（专科）","普通高等学校",""
"2022","4144013711.0","江门职业技术学院","广东省","江门市","江门市","专科","高职（专科）","普通高等学校",""
"2022","4144013712.0","茂名职业技术学院","广东省","茂名市","茂名市","专科","高职（专科）","普通高等学校",""
"2022","4144013713.0","珠海城市职业技术学院","广东省","珠海市","珠海市","专科","高职（专科）","普通高等学校",""
"2022","4144013715.0","广州涉外经济职业技术学院","广东省教育厅","广州市","广州市","专科","高职（专科）","普通高等学校","民办"
"2022","4144013716.0","广州南洋理工职业学院","广东省教育厅","广州市","广州市","专科","高职（专科）","普通高等学校","民办"
"2022","4144013718.0","惠州经济职业技术学院","广东省教育厅","惠州市","惠州市","专科","高职（专科）","普通高等学校","民办"
"2022","4144013810.0","肇庆医学高等专科学校","广东省","肇庆市","肇庆市","专科","高职（专科）","普通高等学校",""
"2022","4144013912.0","广州现代信息工程职业技术学院","广东省教育厅","广州市","广州市","专科","高职（专科）","普通高等学校","民办"
"2022","4144013919.0","广东理工职业学院","广东省","广州市","广州市","专科","高职（专科）","普通高等学校",""
"2022","4144013927.0","广州华南商贸职业学院","广东省教育厅","广州市","广州市","专科","高职（专科）","普通高等学校","民办"
"2022","4144013928.0","广州华立科技职业学院","广东省教育厅","广州市","广州市","专科","高职（专科）","普通高等学校","民办"
"2022","4144013929.0","广州城市职业学院","广东省","广州市","广州市","专科","高职（专科）","普通高等学校",""
"2022","4144013930.0","广东工程职业技术学院","广东省","广州市","广州市","专科","高职（专科）","普通高等学校",""
"2022","4144013943.0","广州铁路职业技术学院","广东省","广州市","广州市","专科","高职（专科）","普通高等学校",""
"2022","4144014063.0","广东科贸职业学院","广东省","广州市","广州市","专科","高职（专科）","普通高等学校",""
"2022","4144014065.0","广州科技贸易职业学院","广东省","广州市","广州市","专科","高职（专科）","普通高等学校",""
"2022","4144014066.0","中山职业技术学院","广东省","中山市","中山市","专科","高职（专科）","普通高等学校",""
"2022","4144014123.0","广州珠江职业技术学院","广东省教育厅","广州市","广州市","专科","高职（专科）","普通高等学校","民办"
"2022","4144014125.0","广州松田职业学院","广东省教育厅","广州市","广州市","专科","高职（专科）","普通高等学校","民办"
"2022","4144014126.0","广东文理职业学院","广东省教育厅","湛江市","湛江市","专科","高职（专科）","普通高等学校","民办"
"2022","4144014136.0","广州城建职业学院","广东省教育厅","广州市","广州市","专科","高职（专科）","普通高等学校","民办"
"2022","4144014263.0","东莞职业技术学院","广东省","东莞市","东莞市","专科","高职（专科）","普通高等学校",""
"2022","4144014265.0","广东南方职业学院","广东省教育厅","江门市","江门市","专科","高职（专科）","普通高等学校","民办"
"2022","4144014266.0","广州华商职业学院","广东省教育厅","广州市","广州市","专科","高职（专科）","普通高等学校","民办"
"2022","4144014268.0","广州华夏职业学院","广东省教育厅","广州市","广州市","专科","高职（专科）","普通高等学校","民办"
"2022","4144014311.0","广东环境保护工程职业学院","广东省","佛山市","佛山市","专科","高职（专科）","普通高等学校",""
"2022","4144014361.0","广东青年职业学院","广东省","广州市","广州市","专科","高职（专科）","普通高等学校",""
"2022","4144014362.0","广州东华职业学院","广东省教育厅","广州市","广州市","专科","高职（专科）","普通高等学校","民办"
"2022","4144014363.0","广东创新科技职业学院","广东省教育厅","东莞市","东莞市","专科","高职（专科）","普通高等学校","民办"
"2022","4144014407.0","广东舞蹈戏剧职业学院","广东省","广州市","广州市","专科","高职（专科）","普通高等学校",""
"2022","4144014408.0","惠州卫生职业技术学院","广东省","惠州市","惠州市","专科","高职（专科）","普通高等学校",""
"2022","4144014427.0","广东信息工程职业学院","广东省教育厅","肇庆市","肇庆市","专科","高职（专科）","普通高等学校","民办"
"2022","4144014509.0","广东生态工程职业学院","广东省","广州市","广州市","专科","高职（专科）","普通高等学校",""
"2022","4144014510.0","惠州城市职业学院","广东省","惠州市","惠州市","专科","高职（专科）","普通高等学校",""
"2022","4144014511.0","广东碧桂园职业学院","广东省教育厅","清远市","清远市","专科","高职（专科）","普通高等学校","民办"
"2022","4144014556.0","广东茂名健康职业学院","广东省","茂名市","茂名市","专科","高职（专科）","普通高等学校",""
"2022","4144014572.0","广东酒店管理职业技术学院","广东省教育厅","东莞市","东莞市","专科","高职（专科）","普通高等学校","民办"
"2022","4144014587.0","广东茂名幼儿师范专科学校","广东省","茂名市","茂名市","专科","高职（专科）","普通高等学校",""
"2022","4144014592.0","广州卫生职业技术学院","广东省","广州市","广州市","专科","高职（专科）","普通高等学校",""
"2022","4144014609.0","惠州工程职业学院","广东省","惠州市","惠州市","专科","高职（专科）","普通高等学校",""
"2022","4144014610.0","广东江门中医药职业学院","广东省","江门市","江门市","专科","高职（专科）","普通高等学校",""
"2022","4144014638.0","广东茂名农林科技职业学院","广东省","茂名市","茂名市","专科","高职（专科）","普通高等学校",""
"2022","4144014664.0","广东江门幼儿师范高等专科学校","广东省","江门市","江门市","专科","高职（专科）","普通高等学校",""
"2022","4144014667.0","广东财贸职业学院","广东省","清远市","清远市","专科","高职（专科）","普通高等学校",""
