"主管部门","所在省份","学校性质","学校数量","普通高等学校数","成人高等学校数","年份范围"
"湖北省","仙桃市","高职（专科）","8","8","0","2017-2025"
"湖北省","十堰市","本科","24","24","0","2017-2025"
"湖北省","十堰市","高职（专科）","8","8","0","2017-2025"
"湖北省","咸宁市","本科","8","8","0","2017-2025"
"湖北省","咸宁市","高职（专科）","8","8","0","2017-2025"
"湖北省","天门市","高职（专科）","8","8","0","2017-2025"
"湖北省","孝感市","本科","8","8","0","2017-2025"
"湖北省","孝感市","高职（专科）","8","8","0","2017-2025"
"湖北省","宜昌市","本科","8","8","0","2017-2025"
"湖北省","宜昌市","高职（专科）","27","27","0","2017-2025"
"湖北省","恩施土家族苗族自治州","本科","8","8","0","2017-2025"
"湖北省","恩施土家族苗族自治州","高职（专科）","8","8","0","2017-2025"
"湖北省","未知","成人高等教育","108","0","108","2017-2025"
"湖北省","武汉市","本科","121","121","0","2017-2025"
"湖北省","武汉市","高职（专科）","232","232","0","2017-2025"
"湖北省","潜江市","高职（专科）","8","8","0","2017-2025"
"湖北省","荆州市","本科","8","8","0","2017-2025"
"湖北省","荆州市","高职（专科）","24","24","0","2017-2025"
"湖北省","荆门市","本科","8","8","0","2017-2025"
"湖北省","荆门市","高职（专科）","10","10","0","2017-2025"
"湖北省","襄阳市","本科","8","8","0","2017-2025"
"湖北省","襄阳市","高职（专科）","19","19","0","2017-2025"
"湖北省","鄂州市","高职（专科）","8","8","0","2017-2025"
"湖北省","随州市","高职（专科）","8","8","0","2017-2025"
"湖北省","黄冈市","本科","8","8","0","2017-2025"
"湖北省","黄冈市","高职（专科）","16","16","0","2017-2025"
"湖北省","黄石市","本科","16","16","0","2017-2025"
"湖北省","黄石市","高职（专科）","8","8","0","2017-2025"
"湖北省教育厅","十堰市","本科","16","16","0","2017-2025"
"湖北省教育厅","咸宁市","高职（专科）","6","6","0","2020-2025"
"湖北省教育厅","孝感市","本科","8","8","0","2017-2025"
"湖北省教育厅","孝感市","高职（专科）","5","5","0","2021-2025"
"湖北省教育厅","宜昌市","本科","9","9","0","2017-2025"
"湖北省教育厅","恩施土家族苗族自治州","本科","8","8","0","2017-2025"
"湖北省教育厅","武汉市","本科","184","184","0","2017-2025"
"湖北省教育厅","武汉市","高职（专科）","64","64","0","2017-2025"
"湖北省教育厅","荆州市","本科","16","16","0","2017-2025"
"湖北省教育厅","荆州市","高职（专科）","8","8","0","2017-2025"
"湖北省教育厅","襄阳市","本科","8","8","0","2017-2025"
"湖北省教育厅","黄冈市","高职（专科）","8","8","0","2017-2025"
"湖北省教育厅","黄石市","本科","8","8","0","2017-2025"
"湖南省","娄底市","本科","8","8","0","2017-2025"
"湖南省","娄底市","高职（专科）","12","12","0","2017-2025"
"湖南省","岳阳市","本科","8","8","0","2017-2025"
"湖南省","岳阳市","高职（专科）","24","24","0","2017-2025"
"湖南省","常德市","本科","8","8","0","2017-2025"
"湖南省","常德市","高职（专科）","19","19","0","2017-2025"
"湖南省","张家界市","高职（专科）","8","8","0","2017-2025"
"湖南省","怀化市","本科","16","16","0","2017-2025"
"湖南省","怀化市","高职（专科）","17","17","0","2017-2025"
"湖南省","未知","成人高等教育","94","0","94","2017-2025"
"湖南省","株洲市","本科","10","10","0","2017-2025"
"湖南省","株洲市","高职（专科）","62","62","0","2017-2025"
"湖南省","永州市","本科","8","8","0","2017-2025"
"湖南省","永州市","高职（专科）","20","20","0","2017-2025"
"湖南省","湘潭市","本科","24","24","0","2017-2025"
"湖南省","湘潭市","高职（专科）","42","42","0","2017-2025"
"湖南省","湘西土家族苗族自治州","本科","8","8","0","2017-2025"
"湖南省","湘西土家族苗族自治州","高职（专科）","8","8","0","2017-2025"
"湖南省","益阳市","本科","8","8","0","2017-2025"
"湖南省","益阳市","高职（专科）","28","28","0","2017-2025"
"湖南省","衡阳市","本科","24","24","0","2017-2025"
"湖南省","衡阳市","高职（专科）","30","30","0","2017-2025"
"湖南省","邵阳市","本科","8","8","0","2017-2025"
"湖南省","邵阳市","高职（专科）","19","19","0","2017-2025"
"湖南省","郴州市","本科","8","8","0","2017-2025"
"湖南省","郴州市","高职（专科）","16","16","0","2017-2025"
"湖南省","长沙市","本科","98","98","0","2017-2025"
"湖南省","长沙市","高职（专科）","230","230","0","2017-2025"
"湖南省教育厅","娄底市","高职（专科）","8","8","0","2017-2025"
"湖南省教育厅","岳阳市","本科","8","8","0","2017-2025"
"湖南省教育厅","岳阳市","高职（专科）","4","4","0","2023-2025"
"湖南省教育厅","常德市","本科","16","16","0","2017-2025"
"湖南省教育厅","常德市","高职（专科）","8","8","0","2017-2025"
"湖南省教育厅","张家界市","本科","8","8","0","2017-2025"
"湖南省教育厅","株洲市","本科","8","8","0","2017-2025"
"湖南省教育厅","株洲市","高职（专科）","1","1","0","2025"
"湖南省教育厅","永州市","高职（专科）","2","2","0","2017-2019"
"湖南省教育厅","湘潭市","本科","36","36","0","2017-2025"
"湖南省教育厅","湘潭市","高职（专科）","10","10","0","2017-2025"
"湖南省教育厅","衡阳市","本科","24","24","0","2017-2025"
"湖南省教育厅","衡阳市","高职（专科）","12","12","0","2017-2025"
"湖南省教育厅","邵阳市","高职（专科）","1","1","0","2025"
"湖南省教育厅","郴州市","高职（专科）","4","4","0","2023-2025"
"湖南省教育厅","长沙市","本科","65","65","0","2017-2025"
"湖南省教育厅","长沙市","高职（专科）","48","48","0","2017-2025"
"甘肃省","临夏州","高职（专科）","8","8","0","2017-2025"
"甘肃省","兰州市","本科","92","92","0","2017-2025"
"甘肃省","兰州市","高职（专科）","76","76","0","2017-2025"
"甘肃省","嘉峪关市","高职（专科）","8","8","0","2017-2025"
"甘肃省","天水市","本科","11","11","0","2017-2025"
"甘肃省","天水市","高职（专科）","20","20","0","2017-2024"
"甘肃省","定西市","高职（专科）","11","11","0","2017-2025"
"甘肃省","平凉市","本科","8","8","0","2017-2025"
"甘肃省","平凉市","高职（专科）","8","8","0","2017-2025"
"甘肃省","庆阳市","本科","8","8","0","2017-2025"
"甘肃省","庆阳市","高职（专科）","8","8","0","2017-2025"
"甘肃省","张掖市","本科","8","8","0","2017-2025"
"甘肃省","张掖市","高职（专科）","6","6","0","2020-2025"
"甘肃省","未知","成人高等教育","35","0","35","2017-2025"
"甘肃省","武威市","本科","1","1","0","2025"
"甘肃省","武威市","高职（专科）","15","15","0","2017-2025"
"甘肃省","甘南藏族 自治州","本科","1","1","0","2017"
"甘肃省","甘南藏族自治州","本科","7","7","0","2019-2025"
"甘肃省","白银市","高职（专科）","8","8","0","2017-2025"
"甘肃省","酒泉市","本科","1","1","0","2025"
"甘肃省","酒泉市","高职（专科）","7","7","0","2017-2024"
"甘肃省","金昌市","高职（专科）","8","8","0","2017-2025"
"甘肃省","陇南市","本科","2","2","0","2024-2025"
"甘肃省","陇南市","高职（专科）","6","6","0","2017-2023"
"甘肃省教育厅","兰州市","本科","30","30","0","2017-2025"
"甘肃省教育厅","兰州市","高职（专科）","16","16","0","2017-2025"
"甘肃省教育厅","白银市","高职（专科）","5","5","0","2021-2025"
"福建省","三明市","本科","8","8","0","2017-2025"
"福建省","三明市","高职（专科）","16","16","0","2017-2025"
"福建省","南平市","本科","8","8","0","2017-2025"
"福建省","南平市","高职（专科）","16","16","0","2017-2025"
"福建省","厦门市","本科","24","24","0","2017-2025"
"福建省","厦门市","高职（专科）","17","17","0","2017-2025"
"福建省","宁德市","本科","8","8","0","2017-2025"
"福建省","宁德市","高职（专科）","8","8","0","2017-2025"
"福建省","未知","成人高等教育","24","0","24","2017-2025"
"福建省","泉州市","本科","9","9","0","2017-2025"
"福建省","泉州市","高职（专科）","47","47","0","2017-2025"
"福建省","漳州市","本科","8","8","0","2017-2025"
"福建省","漳州市","高职（专科）","24","24","0","2017-2025"
"福建省","福州市","本科","87","87","0","2017-2025"
"福建省","福州市","高职（专科）","88","88","0","2017-2025"
"福建省","莆田市","本科","8","8","0","2017-2025"
"福建省","莆田市","高职（专科）","8","8","0","2017-2025"
"福建省","龙岩市","本科","8","8","0","2017-2025"
"福建省","龙岩市","高职（专科）","8","8","0","2017-2025"
"福建省教育厅","南平市","高职（专科）","8","8","0","2017-2025"
"福建省教育厅","厦门市","本科","24","24","0","2017-2025"
"福建省教育厅","厦门市","高职（专科）","56","56","0","2017-2025"
"福建省教育厅","泉州市","本科","39","39","0","2017-2025"
"福建省教育厅","泉州市","高职（专科）","41","41","0","2017-2025"
"福建省教育厅","漳州市","本科","8","8","0","2017-2025"
"福建省教育厅","漳州市","高职（专科）","16","16","0","2017-2025"
"福建省教育厅","福州市","本科","57","57","0","2017-2025"
"福建省教育厅","福州市","高职（专科）","48","48","0","2017-2025"
"空军装备部","未知","成人高等教育","16","0","16","2017-2025"
"空军装备部","长沙市","高职（专科）","7","7","0","2017-2025"
"西藏自治区","咸阳市","本科","8","8","0","2017-2025"
"西藏自治区","拉萨市","本科","17","17","0","2017-2025"
"西藏自治区","拉萨市","高职（专科）","23","23","0","2017-2025"
"西藏自治区","日喀则市","高职（专科）","1","1","0","2025"
"西藏自治区","林芝市","本科","8","8","0","2017-2025"
"贵州省","六盘水市","本科","8","8","0","2017-2025"
"贵州省","六盘水市","高职（专科）","15","15","0","2017-2025"
"贵州省","安顺市","本科","8","8","0","2017-2025"
"贵州省","安顺市","高职（专科）","8","8","0","2017-2025"
"贵州省","未知","成人高等教育","24","0","24","2017-2025"
"贵州省","毕节市","本科","8","8","0","2017-2025"
"贵州省","毕节市","高职（专科）","31","31","0","2017-2025"
"贵州省","贵阳市","本科","96","96","0","2017-2025"
"贵州省","贵阳市","高职（专科）","138","138","0","2017-2025"
"贵州省","遵义市","本科","16","16","0","2017-2025"
"贵州省","遵义市","高职（专科）","24","24","0","2017-2025"
"贵州省","铜仁市","本科","9","9","0","2017-2025"
"贵州省","铜仁市","高职（专科）","23","23","0","2017-2025"
"贵州省","黔东南苗族侗族自治州","本科","8","8","0","2017-2025"
"贵州省","黔东南苗族侗族自治州","高职（专科）","18","18","0","2017-2025"
"贵州省","黔南布依族苗族自治州","本科","8","8","0","2017-2025"
"贵州省","黔南布依族苗族自治州","高职（专科）","46","46","0","2017-2025"
"贵州省","黔西南布依族苗族自治州","本科","8","8","0","2017-2025"
"贵州省","黔西南布依族苗族自治州","高职（专科）","8","8","0","2017-2025"
"贵州省教育厅","安顺市","高职（专科）","6","6","0","2020-2025"
"贵州省教育厅","毕节市","高职（专科）","8","8","0","2017-2025"
"贵州省教育厅","贵阳市","本科","41","41","0","2017-2025"
"贵州省教育厅","贵阳市","高职（专科）","16","16","0","2017-2025"
"贵州省教育厅","遵义市","本科","16","16","0","2017-2025"
"贵州省教育厅","铜仁市","高职（专科）","11","11","0","2017-2025"
"贵州省教育厅","黔南布依族苗族自治州","本科","10","10","0","2021-2025"
"贵州省教育厅","黔南布依族苗族自治州","高职（专科）","16","16","0","2017-2025"
"辽宁省","丹东市","本科","8","8","0","2017-2025"
"辽宁省","丹东市","高职（专科）","16","16","0","2017-2025"
"辽宁省","大连市","本科","72","72","0","2017-2025"
"辽宁省","大连市","高职（专科）","24","24","0","2017-2025"
"辽宁省","抚顺市","本科","8","8","0","2017-2025"
"辽宁省","抚顺市","高职（专科）","16","16","0","2017-2025"
"辽宁省","朝阳市","本科","2","2","0","2024-2025"
"辽宁省","朝阳市","高职（专科）","6","6","0","2017-2023"
"辽宁省","未知","成人高等教育","130","0","130","2017-2025"
"辽宁省","本溪市","本科","8","8","0","2017-2025"
"辽宁省","本溪市","高职（专科）","8","8","0","2017-2025"
"辽宁省","沈阳市","本科","136","136","0","2017-2025"
"辽宁省","沈阳市","高职（专科）","136","136","0","2017-2025"
"辽宁省","盘锦市","高职（专科）","16","16","0","2017-2025"
"辽宁省","营口市","本科","8","8","0","2017-2025"
"辽宁省","营口市","高职（专科）","16","16","0","2017-2025"
"辽宁省","葫芦岛市","高职（专科）","8","8","0","2017-2025"
"辽宁省","辽阳市","高职（专科）","16","16","0","2017-2025"
"辽宁省","铁岭市","高职（专科）","32","32","0","2017-2025"
"辽宁省","锦州市","本科","24","24","0","2017-2025"
"辽宁省","锦州市","高职（专科）","24","24","0","2017-2025"
"辽宁省","阜新市","本科","8","8","0","2017-2025"
"辽宁省","阜新市","高职（专科）","8","8","0","2017-2025"
"辽宁省","鞍山市","本科","16","16","0","2017-2025"
"辽宁省","鞍山市","高职（专科）","6","6","0","2020-2025"
"辽宁省教育厅","大连市","本科","68","68","0","2017-2025"
"辽宁省教育厅","大连市","高职（专科）","56","56","0","2017-2025"
"辽宁省教育厅","抚顺市","本科","9","9","0","2017-2025"
"辽宁省教育厅","沈阳市","本科","65","65","0","2017-2025"
"辽宁省教育厅","沈阳市","高职（专科）","16","16","0","2017-2025"
"辽宁省教育厅","葫芦岛市","本科","8","8","0","2017-2025"
"辽宁省教育厅","辽阳市","本科","8","8","0","2017-2025"
"辽宁省教育厅","锦州市","本科","22","22","0","2017-2025"
"辽宁省教育厅","锦州市","高职（专科）","2","2","0","2017-2019"
"重庆市","未知","成人高等教育","27","0","27","2017-2025"
"重庆市","重庆市","本科","126","126","0","2017-2025"
"重庆市","重庆市","高职（专科）","183","183","0","2017-2025"
"重庆市教委","重庆市","本科","71","71","0","2017-2025"
"重庆市教委","重庆市","高职（专科）","157","157","0","2017-2025"
"重庆市教育厅","重庆市","高职（专科）","3","3","0","2020"
"陕西省","咸阳市","本科","18","18","0","2017-2025"
"陕西省","咸阳市","高职（专科）","46","46","0","2017-2025"
"陕西省","商洛市","本科","8","8","0","2017-2025"
"陕西省","商洛市","高职（专科）","8","8","0","2017-2025"
"陕西省","安康市","本科","8","8","0","2017-2025"
"陕西省","安康市","高职（专科）","8","8","0","2017-2025"
"陕西省","宝鸡市","本科","8","8","0","2017-2025"
"陕西省","宝鸡市","高职（专科）","16","16","0","2017-2025"
"陕西省","延安市","本科","8","8","0","2017-2025"
"陕西省","延安市","高职（专科）","8","8","0","2017-2025"
"陕西省","未知","成人高等教育","113","0","113","2017-2025"
"陕西省","榆林市","本科","8","8","0","2017-2025"
"陕西省","榆林市","高职（专科）","10","10","0","2017-2025"
"陕西省","汉中市","本科","8","8","0","2017-2025"
"陕西省","汉中市","高职（专科）","16","16","0","2017-2025"
"陕西省","渭南市","本科","8","8","0","2017-2025"
"陕西省","渭南市","高职（专科）","16","16","0","2017-2025"
"陕西省","神木市","高职（专科）","5","5","0","2019-2023"
"陕西省","西安市","本科","155","155","0","2017-2025"
"陕西省","西安市","高职（专科）","94","94","0","2017-2025"
"陕西省","铜川市","高职（专科）","8","8","0","2017-2025"
"陕西省教育厅","咸阳市","本科","24","24","0","2017-2025"
"陕西省教育厅","宝鸡市","高职（专科）","12","12","0","2019-2025"
"陕西省教育厅","榆林市","高职（专科）","6","6","0","2020-2025"
"陕西省教育厅","西安市","本科","158","158","0","2017-2025"
"陕西省教育厅","西安市","高职（专科）","58","58","0","2017-2025"
"青海省","未知","成人高等教育","16","0","16","2017-2025"
"青海省","海东市","高职（专科）","8","8","0","2017-2025"
"青海省","海西蒙古族藏族自治州","高职（专科）","8","8","0","2017-2025"
"青海省","西宁市","本科","28","28","0","2017-2025"
"青海省","西宁市","高职（专科）","46","46","0","2017-2025"
"青海省教育厅","西宁市","本科","8","8","0","2017-2025"
"黑龙江省","七台河市","高职（专科）","8","8","0","2017-2025"
"黑龙江省","伊春市","高职（专科）","8","8","0","2017-2025"
"黑龙江省","佳木斯市","本科","8","8","0","2017-2025"
"黑龙江省","佳木斯市","高职（专科）","16","16","0","2017-2025"
"黑龙江省","双鸭山市","高职（专科）","8","8","0","2017-2025"
"黑龙江省","哈尔滨市","本科","106","106","0","2017-2025"
"黑龙江省","哈尔滨市","高职（专科）","151","151","0","2017-2025"
"黑龙江省","大兴安岭地区","高职（专科）","8","8","0","2017-2025"
"黑龙江省","大庆市","本科","24","24","0","2017-2025"
"黑龙江省","大庆市","高职（专科）","16","16","0","2017-2025"
"黑龙江省","未知","成人高等教育","133","0","133","2017-2025"
"黑龙江省","牡丹江市","本科","16","16","0","2017-2025"
"黑龙江省","牡丹江市","高职（专科）","40","40","0","2017-2025"
"黑龙江省","绥化市","本科","8","8","0","2017-2025"
"黑龙江省","鸡西市","本科","8","8","0","2017-2025"
"黑龙江省","鹤岗市","高职（专科）","8","8","0","2017-2025"
"黑龙江省","黑河市","本科","8","8","0","2017-2025"
"黑龙江省","齐齐哈尔市","本科","16","16","0","2017-2025"
"黑龙江省","齐齐哈尔市","高职（专科）","10","10","0","2017-2025"
"黑龙江省教育厅","佳木斯市","高职（专科）","8","8","0","2017-2025"
"黑龙江省教育厅","哈尔滨市","本科","88","88","0","2017-2025"
"黑龙江省教育厅","哈尔滨市","高职（专科）","32","32","0","2017-2025"
"黑龙江省教育厅","齐齐哈尔市","本科","8","8","0","2017-2025"
"黑龙江省教育厅","齐齐哈尔市","高职（专科）","9","9","0","2017-2025"
