"主管部门","所在省份","学校性质","学校数量","包含年份","包含类型"
"云南省","玉溪市","本科","8","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"云南省","玉溪市","高职（专科）","11","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"云南省","红河哈尼族彝族自治州","本科","8","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"云南省","红河哈尼族彝族自治州","高职（专科）","19","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"云南省","红河州","高职（专科）","3","2020, 2021, 2022","普通高等学校"
"云南省","西双版纳傣族自治州","高职（专科）","8","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"云南省","迪庆藏族自治州","高职（专科）","3","2023, 2024, 2025","普通高等学校"
"云南省","【小计】","","3","",""
"云南省教育厅","丽江市","本科","8","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"云南省教育厅","文山壮族苗族自治州","高职（专科）","8","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"云南省教育厅","昆明市","本科","64","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"云南省教育厅","昆明市","高职（专科）","87","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"云南省教育厅","楚雄彝族 自治州","高职（专科）","1","2017","普通高等学校"
"云南省教育厅","楚雄彝族自治州","高职（专科）","1","2019","普通高等学校"
"云南省教育厅","【小计】","","1","",""
"交通运输部","上海市","高职（专科）","1","2017","普通高等学校"
"交通运输部","大连市","本科","8","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"交通运输部","天津市","本科","1","2017","普通高等学校"
"交通运输部","广州市","高职（专科）","1","2017","普通高等学校"
"交通运输部","德阳市","本科","1","2017","普通高等学校"
"交通运输部","未知","成人高等教育","8","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","成人高等学校"
"交通运输部","【小计】","","8","",""
"交通运输部（中国民用航空局）","上海市","高职（专科）","7","2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"交通运输部（中国民用航空局）","天津市","本科","7","2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"交通运输部（中国民用航空局）","广州市","高职（专科）","7","2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"交通运输部（中国民用航空局）","德阳市","本科","7","2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"交通运输部（中国民用航空局）","【小计】","","7","",""
"公安部","北京市","本科","8","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"公安部","南京市","本科","7","2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"公安部","宁波市","本科","1","2017","普通高等学校"
"公安部","广州市","高职（专科）","1","2017","普通高等学校"
"公安部","廊坊市","本科","8","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"公安部","昆明市","高职（专科）","1","2017","普通高等学校"
"公安部","未知","成人高等教育","8","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","成人高等学校"
"公安部","沈阳市","本科","8","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"公安部","郑州市","本科","8","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"公安部","【小计】","","8","",""
"共青团中央","北京市","本科","8","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"共青团中央","【小计】","","8","",""
"内蒙古自治区","乌兰察布市","本科","8","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"内蒙古自治区","乌兰察布市","高职（专科）","16","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"内蒙古自治区","乌海市","高职（专科）","8","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"内蒙古自治区","兴安盟","本科","1","2025","普通高等学校"
"内蒙古自治区","兴安盟","高职（专科）","7","2017, 2019, 2020, 2021, 2022, 2023, 2024","普通高等学校"
"内蒙古自治区","包头市","本科","8","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"内蒙古自治区","包头市","高职（专科）","32","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"内蒙古自治区","呼伦贝尔市","本科","8","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
