"主管部门","所在省份","学校性质","学校数量","包含年份","包含类型"
"安徽省","淮南市","高职（专科）","24","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"安徽省","滁州市","本科","16","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"安徽省","滁州市","高职（专科）","16","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"安徽省","芜湖市","本科","25","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"安徽省","芜湖市","高职（专科）","31","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"安徽省","蚌埠市","本科","24","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"安徽省","蚌埠市","高职（专科）","8","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"安徽省","铜陵市","本科","8","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"安徽省","铜陵市","高职（专科）","16","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"安徽省","阜阳市","本科","8","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"安徽省","阜阳市","高职（专科）","16","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"安徽省","马鞍山市","本科","8","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"安徽省","马鞍山市","高职（专科）","24","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"安徽省","黄山市","本科","8","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"安徽省","黄山市","高职（专科）","8","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"安徽省","【小计】","","16","",""
"安徽省教育厅","六安市","高职（专科）","2","2017, 2019","普通高等学校"
"安徽省教育厅","合肥市","本科","62","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"安徽省教育厅","合肥市","高职（专科）","74","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"安徽省教育厅","宿州市","高职（专科）","5","2021, 2022, 2023, 2024, 2025","普通高等学校"
"安徽省教育厅","淮北市","本科","8","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"安徽省教育厅","淮北市","高职（专科）","8","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"安徽省教育厅","淮南市","高职（专科）","6","2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"安徽省教育厅","芜湖市","本科","16","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"安徽省教育厅","芜湖市","高职（专科）","12","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"安徽省教育厅","蚌埠市","本科","8","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"安徽省教育厅","蚌埠市","高职（专科）","10","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"安徽省教育厅","阜阳市","本科","8","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"安徽省教育厅","阜阳市","高职（专科）","16","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"安徽省教育厅","马鞍山市","本科","16","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"安徽省教育厅","黄山市","高职（专科）","6","2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"安徽省教育厅","【小计】","","6","",""
"山东省","东营市","本科","5","2021, 2022, 2023, 2024, 2025","普通高等学校"
"山东省","东营市","高职（专科）","17","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"山东省","临沂市","本科","8","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"山东省","临沂市","高职（专科）","22","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"山东省","威海市","高职（专科）","24","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"山东省","德州市","本科","8","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"山东省","德州市","高职（专科）","10","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"山东省","日照市","高职（专科）","16","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"山东省","未知","成人高等教育","88","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","成人高等学校"
"山东省","枣庄市","本科","8","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"山东省","枣庄市","高职（专科）","16","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"山东省","泰安市","本科","17","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"山东省","泰安市","高职（专科）","24","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"山东省","济南市","本科","143","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"山东省","济南市","高职（专科）","117","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"山东省","济宁市","本科","24","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"山东省","济宁市","高职（专科）","16","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"山东省","淄博市","本科","9","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"山东省","淄博市","高职（专科）","47","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"山东省","滨州市","本科","16","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"山东省","滨州市","高职（专科）","8","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"山东省","潍坊市","本科","16","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"山东省","潍坊市","高职（专科）","64","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"山东省","烟台市","本科","24","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"山东省","烟台市","高职（专科）","57","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"山东省","聊城市","本科","8","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"山东省","聊城市","高职（专科）","9","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"山东省","莱芜市","高职（专科）","3","2017, 2019, 2021","普通高等学校"
"山东省","菏泽市","本科","8","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"山东省","菏泽市","高职（专科）","24","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"山东省","青岛市","本科","42","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"山东省","青岛市","高职（专科）","53","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"山东省","【小计】","","95","",""
"山东省教育厅","东营市","本科","3","2017, 2019, 2020","普通高等学校"
"山东省教育厅","东营市","高职（专科）","7","2017, 2019, 2020, 2021, 2022, 2023, 2024","普通高等学校"
"山东省教育厅","临沂市","高职（专科）","1","2025","普通高等学校"
"山东省教育厅","威海市","本科","7","2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"山东省教育厅","威海市","高职（专科）","1","2017","普通高等学校"
"山东省教育厅","德州市","本科","8","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"山东省教育厅","德州市","高职（专科）","10","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"山东省教育厅","日照市","本科","7","2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"山东省教育厅","日照市","高职（专科）","12","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"山东省教育厅","枣庄市","高职（专科）","1","2025","普通高等学校"
"山东省教育厅","泰安市","本科","16","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"山东省教育厅","泰安市","高职（专科）","8","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"山东省教育厅","济南市","本科","51","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"山东省教育厅","济南市","高职（专科）","25","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"山东省教育厅","济宁市","高职（专科）","9","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"山东省教育厅","淄博市","本科","8","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"山东省教育厅","滨州市","高职（专科）","5","2021, 2022, 2023, 2024, 2025","普通高等学校"
"山东省教育厅","潍坊市","本科","15","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"山东省教育厅","潍坊市","高职（专科）","25","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"山东省教育厅","烟台市","本科","29","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"山东省教育厅","烟台市","高职（专科）","14","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"山东省教育厅","聊城市","本科","8","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"山东省教育厅","菏泽市","高职（专科）","1","2025","普通高等学校"
"山东省教育厅","青岛市","本科","48","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"山东省教育厅","青岛市","高职（专科）","27","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"山东省教育厅","【小计】","","75","",""
"山西省","临汾市","本科","7","2017, 2019, 2020, 2021, 2022, 2024, 2025","普通高等学校"
"山西省","临汾市","高职（专科）","16","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"山西省","吕梁市","本科","9","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"山西省","吕梁市","高职（专科）","11","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"山西省","大同市","本科","8","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"山西省","大同市","高职（专科）","21","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"山西省","太原市","本科","105","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"山西省","太原市","高职（专科）","164","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"山西省","忻州市","本科","8","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"山西省","忻州市","高职（专科）","8","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"山西省","晋中市","本科","24","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"山西省","晋中市","高职（专科）","16","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"山西省","晋城市","本科","5","2021, 2022, 2023, 2024, 2025","普通高等学校"
"山西省","晋城市","高职（专科）","8","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"山西省","朔州市","本科","5","2021, 2022, 2023, 2024, 2025","普通高等学校"
"山西省","朔州市","高职（专科）","22","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"山西省","未知","成人高等教育","72","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","成人高等学校"
"山西省","运城市","本科","8","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"山西省","运城市","高职（专科）","40","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"山西省","长治市","本科","16","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"山西省","长治市","高职（专科）","30","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"山西省","阳泉市","本科","8","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"山西省","阳泉市","高职（专科）","16","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"山西省","【小计】","","24","",""
"山西省教育厅","临汾市","本科","6","2017, 2019, 2020, 2021, 2022, 2023","普通高等学校"
"山西省教育厅","临汾市","高职（专科）","8","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"山西省教育厅","大同市","高职（专科）","1","2025","普通高等学校"
"山西省教育厅","太原市","本科","44","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"山西省教育厅","太原市","高职（专科）","8","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"山西省教育厅","晋中市","本科","13","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"山西省教育厅","晋中市","高职（专科）","16","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"山西省教育厅","运城市","本科","6","2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"山西省教育厅","运城市","高职（专科）","2","2017, 2019","普通高等学校"
"山西省教育厅","【小计】","","8","",""
"工业和信息化部","北京市","本科","16","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"工业和信息化部","南京市","本科","16","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"工业和信息化部","哈尔滨市","本科","16","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"工业和信息化部","西安市","本科","8","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"工业和信息化部","【小计】","","8","",""
"广东省","东莞市","本科","9","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"广东省","东莞市","高职（专科）","8","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"广东省","中山市","高职（专科）","16","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"广东省","云浮市","高职（专科）","13","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"广东省","佛山市","本科","9","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"广东省","佛山市","高职（专科）","31","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"广东省","广州市","本科","155","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"广东省","广州市","高职（专科）","242","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"广东省","惠州市","本科","8","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"广东省","惠州市","高职（专科）","24","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"广东省","揭阳市","高职（专科）","8","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"广东省","未知","成人高等教育","104","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","成人高等学校"
"广东省","梅州市","本科","8","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"广东省","梅州市","高职（专科）","5","2021, 2022, 2023, 2024, 2025","普通高等学校"
"广东省","汕头市","本科","12","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"广东省","汕头市","高职（专科）","13","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"广东省","汕尾市","高职（专科）","8","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"广东省","江门市","本科","8","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"广东省","江门市","高职（专科）","23","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"广东省","河源市","高职（专科）","8","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"广东省","深圳市","本科","33","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"广东省","深圳市","高职（专科）","14","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"广东省","清远市","高职（专科）","15","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"广东省","湛江市","本科","24","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"广东省","湛江市","高职（专科）","8","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"广东省","潮州市","本科","8","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"广东省","潮州市","高职（专科）","5","2021, 2022, 2023, 2024, 2025","普通高等学校"
"广东省","珠海市","高职（专科）","8","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"广东省","肇庆市","本科","10","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"广东省","肇庆市","高职（专科）","6","2017, 2019, 2020, 2021, 2022, 2023","普通高等学校"
"广东省","茂名市","本科","8","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"广东省","茂名市","高职（专科）","31","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"广东省","阳江市","高职（专科）","8","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"广东省","韶关市","本科","8","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"广东省","韶关市","高职（专科）","8","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"广东省","【小计】","","16","",""
"广东省教育厅","东莞市","本科","18","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"广东省教育厅","东莞市","高职（专科）","22","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"广东省教育厅","中山市","本科","8","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"广东省教育厅","佛山市","本科","8","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"广东省教育厅","广州市","本科","122","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"广东省教育厅","广州市","高职（专科）","113","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"广东省教育厅","惠州市","高职（专科）","8","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"广东省教育厅","揭阳市","高职（专科）","8","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"广东省教育厅","未知","成人高等教育","8","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","成人高等学校"
"广东省教育厅","汕头市","本科","4","2017, 2023, 2024, 2025","普通高等学校"
"广东省教育厅","江门市","高职（专科）","8","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"广东省教育厅","深圳市","本科","12","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"广东省教育厅","深圳市","高职（专科）","8","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"广东省教育厅","清远市","高职（专科）","8","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"广东省教育厅","湛江市","本科","8","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"广东省教育厅","湛江市","高职（专科）","8","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"广东省教育厅","珠海市","本科","32","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"广东省教育厅","珠海市","高职（专科）","11","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"广东省教育厅","肇庆市","本科","15","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"广东省教育厅","肇庆市","高职（专科）","16","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"广东省教育厅","【小计】","","31","",""
"广西壮族自治区","北海市","高职（专科）","8","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"广西壮族自治区","南宁市","本科","78","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"广西壮族自治区","南宁市","高职（专科）","143","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"广西壮族自治区","崇左市","本科","8","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"广西壮族自治区","崇左市","高职（专科）","19","2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"广西壮族自治区","未知","成人高等教育","34","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","成人高等学校"
"广西壮族自治区","来宾市","本科","8","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"广西壮族自治区","柳州市","本科","10","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"广西壮族自治区","柳州市","高职（专科）","32","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"广西壮族自治区","桂林市","本科","49","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"广西壮族自治区","桂林市","高职（专科）","7","2017, 2019, 2020, 2021, 2022, 2023, 2024","普通高等学校"
"广西壮族自治区","梧州市","本科","8","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"广西壮族自治区","梧州市","高职（专科）","8","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"广西壮族自治区","河池市","本科","8","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"广西壮族自治区","河池市","高职（专科）","8","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"广西壮族自治区","玉林市","本科","8","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"广西壮族自治区","玉林市","高职（专科）","2","2024, 2025","普通高等学校"
"广西壮族自治区","百色市","本科","16","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"广西壮族自治区","百色市","高职（专科）","8","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"广西壮族自治区","贵港市","高职（专科）","6","2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"广西壮族自治区","贺州市","本科","8","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"广西壮族自治区","钦州市","本科","8","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"广西壮族自治区","钦州市","高职（专科）","6","2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"广西壮族自治区","防城港市","高职（专科）","5","2021, 2022, 2023, 2024, 2025","普通高等学校"
"广西壮族自治区","【小计】","","5","",""
"广西壮族自治区教育厅","北海市","本科","10","2021, 2022, 2023, 2024, 2025","普通高等学校"
"广西壮族自治区教育厅","北海市","高职（专科）","5","2021, 2022, 2023, 2024, 2025","普通高等学校"
"广西壮族自治区教育厅","南宁市","本科","25","2021, 2022, 2023, 2024, 2025","普通高等学校"
"广西壮族自治区教育厅","南宁市","高职（专科）","10","2021, 2022, 2023, 2024, 2025","普通高等学校"
"广西壮族自治区教育厅","崇左市","本科","5","2021, 2022, 2023, 2024, 2025","普通高等学校"
"广西壮族自治区教育厅","崇左市","高职（专科）","15","2021, 2022, 2023, 2024, 2025","普通高等学校"
"广西壮族自治区教育厅","来宾市","高职（专科）","5","2021, 2022, 2023, 2024, 2025","普通高等学校"
"广西壮族自治区教育厅","柳州市","本科","5","2021, 2022, 2023, 2024, 2025","普通高等学校"
"广西壮族自治区教育厅","桂林市","本科","15","2021, 2022, 2023, 2024, 2025","普通高等学校"
"广西壮族自治区教育厅","桂林市","高职（专科）","13","2021, 2022, 2023, 2024, 2025","普通高等学校"
"广西壮族自治区教育厅","梧州市","高职（专科）","6","2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"广西壮族自治区教育厅","玉林市","高职（专科）","5","2021, 2022, 2023, 2024, 2025","普通高等学校"
"广西壮族自治区教育厅","百色市","高职（专科）","10","2021, 2022, 2023, 2024, 2025","普通高等学校"
"广西壮族自治区教育厅","钦州市","高职（专科）","5","2021, 2022, 2023, 2024, 2025","普通高等学校"
"广西壮族自治区教育厅","【小计】","","5","",""
"广西自治区教育厅","北海市","本科","6","2017, 2019, 2020","普通高等学校"
"广西自治区教育厅","南宁市","本科","18","2017, 2019, 2020","普通高等学校"
"广西自治区教育厅","南宁市","高职（专科）","6","2017, 2019, 2020","普通高等学校"
"广西自治区教育厅","崇左市","本科","2","2019, 2020","普通高等学校"
"广西自治区教育厅","崇左市","高职（专科）","10","2017, 2019, 2020","普通高等学校"
"广西自治区教育厅","来宾市","高职（专科）","3","2017, 2019, 2020","普通高等学校"
"广西自治区教育厅","柳州市","本科","3","2017, 2019, 2020","普通高等学校"
"广西自治区教育厅","桂林市","本科","9","2017, 2019, 2020","普通高等学校"
"广西自治区教育厅","桂林市","高职（专科）","5","2017, 2019, 2020","普通高等学校"
"广西自治区教育厅","玉林市","高职（专科）","3","2017, 2019, 2020","普通高等学校"
"广西自治区教育厅","百色市","高职（专科）","6","2017, 2019, 2020","普通高等学校"
"广西自治区教育厅","钦州市","高职（专科）","3","2017, 2019, 2020","普通高等学校"
"广西自治区教育厅","【小计】","","3","",""
"应急管理部","北京市","本科","7","2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"应急管理部","廊坊市","本科","7","2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"应急管理部","昆明市","高职（专科）","7","2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"应急管理部","【小计】","","7","",""
"总装备部","长沙市","高职（专科）","1","2019","普通高等学校"
"总装备部","【小计】","","1","",""
"教育部","上海市","本科","64","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"教育部","兰州市","本科","8","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"教育部","北京市","本科","200","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"教育部","南京市","本科","40","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"教育部","厦门市","本科","8","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"教育部","合肥市","本科","8","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"教育部","咸阳市","本科","8","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"教育部","哈尔滨市","本科","8","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"教育部","大连市","本科","8","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"教育部","天津市","本科","16","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"教育部","广州市","本科","16","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"教育部","徐州市","本科","8","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"教育部","成都市","本科","32","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"教育部","无锡市","本科","8","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"教育部","未知","成人高等教育","8","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","成人高等学校"
"教育部","杭州市","本科","8","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
