状态	地区	学校标识码	学校名称	主管部门	备注	曾用名
1	湖北省	4242050733	湖北省纺织职工大学	湖北省		
1	湖北省	4242050738	鄂城钢铁厂职工大学	湖北省		
1	湖北省	4242050740	丹江口工程管理局职工大学	湖北省		
1	湖北省	4242050742	湖北省直属机关业余大学	湖北省		
1	湖北省	4242050756	湖北省经济管理干部学院	湖北省		
1	湖北省	4242050762	十堰教育学院	湖北省		
1	湖北省	4242051297	大冶钢厂职工大学	湖北省		
1	湖北省	4242051305	湖北开放大学	湖北省		湖北广播电视大学
1	湖北省	4242051773	武汉冶金管理干部学院	湖北省		
1	湖北省	4242051774	湖北武汉公安管理干部学院	湖北省		
1	湖北省	4242051862	华中电业联合职工大学	湖北省		
1	湖南省	4243050774	涟源钢铁总厂职工大学	湖南省		
1	湖南省	4243050784	长沙工业职工大学	湖南省		
1	湖南省	4243050788	株洲市职工大学	湖南省		
1	湖南省	4243050793	湖南航空工业职工工学院	湖南省		
1	湖南省	4243050794	中钢集团衡阳重机职工大学	湖南省		
1	湖南省	4243050798	衡阳工业职工大学	湖南省		
1	湖南省	4243050810	长沙教育学院	湖南省		
1	湖南省	4243051306	湖南开放大学	湖南省		湖南省广播电视大学
1	湖南省	4243051310	益阳教育学院	湖南省		
1	湖南省	4243051766	湖南金融技术职工大学	湖南省		
1	湖南省	4243051767	湖南纺织职工大学	湖南省		
1	广东省	4244050075	广州金桥管理干部学院	广东省		
1	广东省	4244050079	南海成人学院	广东省		
1	广东省	4244050821	湛江市业余大学	广东省		
1	广东省	4244050826	广东省国防工业职工大学	广东省		
1	广东省	4244050835	汕头市业余大学	广东省		
1	广东省	4244050837	韶关市职工大学	广东省		
1	广东省	4244050855	广州市公安管理干部学院	广东省		
1	广东省	4244050859	广东省公安司法管理干部学院	广东省		
1	广东省	4244051315	广东开放大学	广东省		
1	广东省	4244051317	广东新华教育学院	广东省教育厅	民办	
1	广东省	4244051319	广东省职工体育运动技术学院	广东省		
1	广东省	4244051320	广东社会科学大学	广东省		
1	广东省	4244051393	广州开放大学	广东省		广州市广播电视大学
1	广东省	4244051888	深圳开放大学	广东省		深圳广播电视大学
1	广西壮族自治区	4245050867	桂林市职工大学	广西壮族自治区		
1	广西壮族自治区	4245050870	广西教育学院	广西壮族自治区		
1	广西壮族自治区	4245051338	广西开放大学	广西壮族自治区		广西壮族自治区广播电视大学
1	广西壮族自治区	4245051340	广西政法管理干部学院	广西壮族自治区		
1	海南省	4246051865	海南开放大学	海南省		海南广播电视大学
1	重庆市	4250050901	重庆电力职工大学	重庆市		
1	重庆市	4250050905	重庆冶金成人学院	重庆市		
1	重庆市	4250051866	重庆开放大学	重庆市		重庆市广播电视大学
1	四川省	4251050879	中国工程物理研究院职工工学院	四川省		
1	四川省	4251050885	国营涪江机器厂职工大学	四川省		
1	四川省	4251050908	第五冶金建设公司职工大学	四川省		
1	四川省	4251050913	成都工业职工大学	四川省		
1	四川省	4251050919	四川省化工职工大学	四川省		
1	四川省	4251050928	中国科学院成都分院职工大学	中国科学院		
1	四川省	4251050930	广元职工医学院	四川省		
1	四川省	4251050932	南充市职工大学	四川省		
1	四川省	4251051341	四川开放大学	四川省		四川广播电视大学
1	四川省	4251051758	成都市职工大学	四川省		
1	四川省	4251051886	成都开放大学	四川省		成都广播电视大学
1	贵州省	4252050962	贵州铝厂职工大学	贵州省		
1	贵州省	4252050965	贵州机械工业职工大学	贵州省		
1	贵州省	4252051352	贵州开放大学	贵州省		贵州广播电视大学
1	云南省	4253051357	云南开放大学	云南省		
1	陕西省	4261050083	陕西航天职工大学	陕西省		
1	陕西省	4261050989	西安航空职工大学	陕西省		
1	陕西省	4261050990	西安飞机工业公司职工工学院	陕西省		
1	陕西省	4261051001	陕西兵器工业职工大学	陕西省		
1	陕西省	4261051002	西北电业职工大学	陕西省		
1	陕西省	4261051006	西安铁路工程职工大学	陕西省		
1	陕西省	4261051009	西安电力机械制造公司机电学院	陕西省		
1	陕西省	4261051010	陕西省建筑工程总公司职工大学	陕西省		
1	陕西省	4261051017	西安市职工大学	陕西省		
1	陕西省	4261051018	宝鸡市职工大学	陕西省		
1	陕西省	4261051027	陕西省宝鸡教育学院	陕西省		
1	陕西省	4261051370	陕西开放大学	陕西省		陕西省广播电视大学
1	陕西省	4261051373	陕西工运学院	陕西省		
1	陕西省	4261051871	西安开放大学	陕西省		西安市广播电视大学
1	甘肃省	4262051039	兰州铁路工程职工大学	甘肃省		
1	甘肃省	4262051040	甘肃核工业职工大学	甘肃省		
1	甘肃省	4262051042	银光化学材料厂职工大学	甘肃省		
1	甘肃省	4262051374	甘肃开放大学	甘肃省		甘肃广播电视大学
1	青海省	4263051049	青海省联合职工大学	青海省		
1	青海省	4263051382	青海开放大学	青海省		青海省广播电视大学
1	宁夏回族自治区	4264051383	宁夏开放大学	宁夏回族自治区		宁夏回族自治区广播电视大学
1	新疆维吾尔自治区	4265051210	新疆生产建设兵团开放大学	新疆生产建设兵团		新疆生产建设兵团广播电视大学
1	新疆维吾尔自治区	4265051387	新疆开放大学	新疆维吾尔自治区		新疆维吾尔自治区广播电视大学
1	新疆维吾尔自治区	4265051594	喀什教育学院	新疆维吾尔自治区		
1	新疆维吾尔自治区	4265051595	新疆生产建设兵团教育学院	新疆生产建设兵团		
1	新疆维吾尔自治区	4265051599	和田地区教育学院	新疆维吾尔自治区		
1	新疆维吾尔自治区	4265051717	阿克苏教育学院	新疆维吾尔自治区		
0	天津市	4212051172	天津物资管理干部学院	天津市		
0	河北省	4213050139	河北地质职工大学	河北省		
0	山西省	4214050166	山西职工医学院	山西省		
0	山西省	4214050197	山西省吕梁市教育学院	山西省		
0	山西省	4214051788	长治市教育学院	山西省		
0	辽宁省	4221051097	辽宁省直属机关职工大学	辽宁省		
0	辽宁省	4221051694	辽宁文化艺术职工大学	辽宁省		
0	黑龙江省	4223050268	哈尔滨轻型车厂职工大学	黑龙江省		
