状态	地区	学校标识码	学校名称	主管部门	所在地	办学层次	备注	adminType	categoryName	英文名称	双一流建设	官网链接	更新说明
1	辽宁省	4121013957	辽宁传媒学院	辽宁省教育厅	沈阳市	本科	民办	民办高校	语言	Liaoning Communication University		http://www.fzcollege.org	
1	辽宁省	4121013958	大连软件职业学院	辽宁省教育厅	大连市	专科	民办	民办高校	理工	Dalian Software Vocational University		http://www.dlrj.edu.cn/	
1	辽宁省	4121013959	大连翻译职业学院	辽宁省教育厅	大连市	专科	民办	民办高校		Dalian Translation And Interpretation College			
1	辽宁省	4121013960	辽宁商贸职业学院	辽宁省	沈阳市	专科		地方公办		Liaoning Vocational College Of Business		http://www.lnsmzy.edu.cn/	
1	辽宁省	4121013961	大连枫叶职业技术学院	辽宁省教育厅	大连市	专科	民办	民办高校	综合	Dalian Maple Leaf College Of Technology		http://www.dlxgjy.com/	
1	辽宁省	4121014076	辽宁装备制造职业技术学院	辽宁省	沈阳市	专科		地方公办	理工	Liaoning Equipment Manufacturing Vocational And Technical College		http://zy.ltcem.com/	
1	辽宁省	4121014077	辽河石油职业技术学院	辽宁省	盘锦市	专科		地方公办	理工	Liaohe Petroleum Career Technical College			
1	辽宁省	4121014106	辽宁地质工程职业学院	辽宁省	丹东市	专科		地方公办	理工	Liaoning Geology Engineering Vocational College		http://www.lndzxy.com	
1	辽宁省	4121014188	辽宁铁道职业技术学院	辽宁省	锦州市	专科		地方公办	理工	Liaoning Railway Vocational And Technical College		http://www.lntzy.com/	
1	辽宁省	4121014189	辽宁建筑职业学院	辽宁省	辽阳市	专科		地方公办	理工	Liaoning Jianzhu Vocational College		http://www.lnjzxy.com	
1	辽宁省	4121014209	大连航运职业技术学院	辽宁省教育厅	大连市	专科	民办	民办高校	理工	Dalian Shipping College		http://www.dlmso.com.cn/	
1	辽宁省	4121014227	大连装备制造职业技术学院	辽宁省教育厅	大连市	专科	民办	民办高校	理工	Dalian Equipment Technical College		http://www.dlemc.net/	
1	辽宁省	4121014228	大连汽车职业技术学院	辽宁省教育厅	大连市	专科	民办	民办高校	理工	Dalian Autovocational Technical Institute		http://www.dlqcxy.net/	
1	辽宁省	4121014240	辽宁现代服务职业技术学院	辽宁省	沈阳市	专科		地方公办	财经	Liaoning Vocational And Technical College Of Modern Service		http://www.lnxdfwxy.com/	
1	辽宁省	4121014286	辽宁冶金职业技术学院	辽宁省	本溪市	专科		地方公办	理工	Liaoning Metallurgical Vocational Technical College		http://www.lnyj.net	
1	辽宁省	4121014287	辽宁工程职业学院	辽宁省	铁岭市	专科		地方公办	理工	Liaoning Engineering Vocational College		http://www.lngczyxy.com	
1	辽宁省	4121014288	辽宁城市建设职业技术学院	辽宁省	沈阳市	专科		地方公办	理工	Liaoning Urban Construction Technical College		http://www.lncjxy.com/	
1	辽宁省	4121014289	辽宁医药职业学院	辽宁省	沈阳市	专科		地方公办	医药	Liaoning Vocational College Of Medicine		http://www.lnyyzyxy.com/	
1	辽宁省	4121014290	铁岭卫生职业学院	辽宁省	铁岭市	专科		地方公办	医药	Tieling Health Vocational College		http://www.lntlhc.com	
1	辽宁省	4121014385	沈阳北软信息职业技术学院	辽宁省教育厅	沈阳市	专科	民办	民办高校	理工	Shenyang Northern Software College Of Information Technology		http://www.nsi-soft.com	
1	辽宁省	4121014398	辽宁政法职业学院	辽宁省	沈阳市	专科		地方公办		Liaoning Administraters College Of Police And Justice			
1	辽宁省	4121014435	营口理工学院	辽宁省	营口市	本科		地方公办	理工	YingKou Institute of Technology		http://www.yku.edu.cn/	
1	辽宁省	4121014464	辽宁民族师范高等专科学校	辽宁省	沈阳市	专科		地方公办	师范	Liaoning National Normal College		http://www.lnkn.edu.cn/	
1	辽宁省	4121014473	辽宁轻工职业学院	辽宁省	大连市	专科		地方公办	理工	Liaoning Vocational College Of Light Industry		http://www.lnqg.com.cn/	
1	辽宁省	4121014526	辽宁特殊教育师范高等专科学校	辽宁省	沈阳市	专科		地方公办	师范	Liaoning Special Education Teachers College		http://www.lntjw.com/	
1	辽宁省	4121014662	辽宁师范高等专科学校	辽宁省	沈阳市	专科		地方公办	师范	Liaoning Normal College		http://www.lnnc.ln.cn/	学校名称：2017->2019年 新增“辽宁师范高等专科学校”
1	辽宁省	4121014700	鞍山职业技术学院	辽宁省	鞍山市	专科		地方公办	理工	Anshan Vocational And Technical College		http://www.aszyjsxy.cn/	学校名称：2019->2020年 新增“鞍山职业技术学院”
1	吉林省	3622000335	长春师范高等专科学校	吉林省	长春市	专科		地方公办	师范	Changchun Normal College		http://www.ccsfgz.com	
1	吉林省	4122010183	吉林大学	教育部	长春市	本科		教育部直属	综合	Jilin University	211，985，双一流	https://www.jlu.edu.cn/	
1	吉林省	4122010184	延边大学	吉林省	延边朝鲜族自治州	本科		地方公办	综合	Yanbian University	211，双一流	http://www.ybu.edu.cn/	
1	吉林省	4122010186	长春理工大学	吉林省	长春市	本科		地方公办	理工	Changchun University of Science and Technology		http://www.cust.edu.cn/	
1	吉林省	4122010188	东北电力大学	吉林省	吉林市	本科		地方公办	理工	Northeast Electric Power University		http://www.nedu.edu.cn/	
1	吉林省	4122010190	长春工业大学	吉林省	长春市	本科		地方公办	理工	Changchun University of Technology		http://www.ccut.edu.cn/	
1	吉林省	4122010191	吉林建筑大学	吉林省	长春市	本科		地方公办	理工	Jilin Jianzhu University		http://www.jliae.edu.cn/	
1	吉林省	4122010192	吉林化工学院	吉林省	吉林市	本科		地方公办	理工	Jilin Institute of Chemical Technology		http://www.jlict.edu.cn/	
1	吉林省	4122010193	吉林农业大学	吉林省	长春市	本科		地方公办	农业	Jilin Agricultural University		https://www.jlau.edu.cn/	
1	吉林省	4122010199	长春中医药大学	吉林省	长春市	本科		地方公办	医药	Changchun University of Chinese Medicine		http://www.ccucm.edu.cn/	
1	吉林省	4122010200	东北师范大学	教育部	长春市	本科		教育部直属	师范	Northeast Normal University	211，双一流	http://www.nenu.edu.cn/	
1	吉林省	4122010201	北华大学	吉林省	吉林市	本科		地方公办	综合	Beihua University		https://www.beihua.edu.cn/	
1	吉林省	4122010202	通化师范学院	吉林省	通化市	本科		地方公办	师范	Tonghua Normal University		http://www.thnu.edu.cn/	
1	吉林省	4122010203	吉林师范大学	吉林省	四平市	本科		地方公办	师范	Jilin Normal University		https://www.jlnu.edu.cn/	
1	吉林省	4122010204	吉林工程技术师范学院	吉林省	长春市	本科		地方公办	师范	Jilin Engineering Normal University		https://jwcsys.jlenu.edu.cn/	
1	吉林省	4122010205	长春师范大学	吉林省	长春市	本科		地方公办	师范	Changchun Normal University		http://www.ccsfu.edu.cn/	
1	吉林省	4122010206	白城师范学院	吉林省	白城市	本科		地方公办	师范	Baicheng Normal University		http://www.bcsfxy.com/	
1	吉林省	4122010207	吉林财经大学	吉林省	长春市	本科		地方公办	财经	Jilin University of Finance and Economics		http://www.jlufe.edu.cn/	
1	吉林省	4122010208	吉林体育学院	吉林省	长春市	本科		地方公办	体育	Jilin Institute of Physical Education		http://www.jlsu.edu.cn/	
1	吉林省	4122010209	吉林艺术学院	吉林省	长春市	本科		地方公办	艺术	Jilin University of Arts		http://www.jlart.edu.cn/	
1	吉林省	4122010847	辽源职业技术学院	吉林省	辽源市	专科		地方公办	理工	Liao Yuan Vocational Technical College		http://www.lyvtc.cn	
1	吉林省	4122010964	吉林外国语大学	吉林省教育厅	长春市	本科	民办	民办高校	语言	Jilin International Studies University			学校名称：2017->2019年 “吉林华桥外国语学院”更名为“吉林外国语大学”
1	吉林省	4122011044	四平职业大学	吉林省	四平市	专科		地方公办	理工	Siping Professional College		http://www.jlsppc.cn	
1	吉林省	4122011261	吉林工商学院	吉林省	长春市	本科		地方公办	财经	Jilin Business and Technology College		https://www.jlbtc.edu.cn/	
1	吉林省	4122011436	长春汽车职业技术大学	吉林省	长春市	本科		地方公办	理工	Changchun Automobile Industry Insititute			学校名称：2023->2024年 “长春汽车工业高等专科学校”更改为“长春汽车职业技术大学”；办学层次：2023->2024年 “专科”更改为“本科”
1	吉林省	4122011437	长春工程学院	吉林省	长春市	本科		地方公办	理工	Changchun Institute of Technology		http://www.ccit.edu.cn/	
1	吉林省	4122011439	吉林农业科技学院	吉林省	吉林市	本科		地方公办	农业	Jilin Agricultural Science and Technology University		http://www.jlnku.com	
1	吉林省	4122011440	长春金融高等专科学校	吉林省	长春市	专科		地方公办	财经	Changchun Finance College		http://www.cjgz.edu.cn	
1	吉林省	4122011441	吉林警察学院	吉林省	长春市	本科		地方公办	政法	Jilin Police College		http://www.jljcxy.com/	
1	吉林省	4122011726	长春大学	吉林省	长春市	本科		地方公办	综合	Changchun University		https://www.ccu.edu.cn/	
1	吉林省	4122011823	长春医学高等专科学校	吉林省	长春市	专科		地方公办	医药	Changchun Medical College		http://www.cmcedu.com	
1	吉林省	4122012049	吉林交通职业技术学院	吉林省	长春市	专科		地方公办	理工	Jilin Communications Polytechnic		http://www.jjtc.com.cn/	
1	吉林省	4122012306	长春东方职业学院	吉林省教育厅	长春市	专科	民办	民办高校	医药	Changchun Dongfang Professional College		http://www.dfzyxy.net	
1	吉林省	4122012901	吉林司法警官职业学院	吉林省	长春市	专科		地方公办	政法	The Judicial Jilin Police College		http://www.jlsfjy.cn/	
1	吉林省	4122012902	吉林电子信息职业技术学院	吉林省	吉林市	专科		地方公办	理工	Jilin College Of Electronic Information		http://www.jltc.edu.cn/	
1	吉林省	4122012903	吉林工业职业技术学院	吉林省	吉林市	专科		地方公办	理工	Jilin Vocational College Of Industry And Technology		http://www.jvcit.edu.cn/	
1	吉林省	4122012904	吉林工程职业学院	吉林省	四平市	专科		地方公办	理工	Jilin Engineering Vocational College		http://www.jlevc.cn/	
1	吉林省	4122013161	长春职业技术学院	吉林省	长春市	专科		地方公办	理工	Changchun Polytechnic		http://www.cvit.com.cn/index.shtml	
1	吉林省	4122013600	长春光华学院	吉林省教育厅	长春市	本科	民办	民办高校	综合	Changchun Guanghua University		http://www.ccughc.net/	
1	吉林省	4122013601	长春工业大学人文信息学院	吉林省教育厅	长春市	本科	民办	独立学院	理工	College of Humanities and Information Changchun University of Technology		http://www.ccutchi.com	
1	吉林省	4122013602	长春电子科技学院	吉林省教育厅	长春市	本科	民办	民办高校	理工			http://www.changdian2001.com/	学校名称：2020->2021年 “长春理工大学光电信息学院”更名为“长春电子科技学院”
1	吉林省	4122013603	长春财经学院	吉林省教育厅	长春市	本科	民办	民办高校	财经	Changchun University of Finance And Economics		http://www.ccufe.net	
1	吉林省	4122013604	吉林建筑科技学院	吉林省教育厅	长春市	本科	民办	民办高校	理工	Jilin University of Architecture and Technology		http://www.jluat.edu.cn/	学校名称：2017->2019年 “吉林建筑大学城建学院”更名为“吉林建筑科技学院”
1	吉林省	4122013605	长春建筑学院	吉林省教育厅	长春市	本科	民办	民办高校	理工	Changchun University of Architecture and Civil Engineering		http://www.jladi.com/	
1	吉林省	4122013606	长春科技学院	吉林省教育厅	长春市	本科	民办	民办高校	综合	Changchun Sci-Tech University		http://www.jlaudev.com.cn	
1	吉林省	4122013607	吉林动画学院	吉林省教育厅	长春市	本科	民办	民办高校	艺术	Jilin Animation Institute		http://www.jldh.com.cn/	
1	吉林省	4122013622	吉林师范大学博达学院	吉林省教育厅	四平市	本科	民办	独立学院	师范	Boda College of Jilin Normal University		http://www.bdxy.com.cn/	
1	吉林省	4122013623	长春大学旅游学院	吉林省教育厅	长春市	本科	民办	独立学院	综合	The Tourism College of Changchun University		http://www.cctourcollege.com/	
